TDOI,ID,English,Finnish,"Upper LTK group","LTK group name"
01065,404,,,,
01066,V2A,N/A,Myrkytysten antidootit,V2,"Myrkytysten, yliannostusten ym. hoito"
01067,A10BB12,glimepiride,Glimepiridi,A2BA,Sulfonyyliureat
01068,B01AB01,heparin,Fraktioimaton hepariini,B1AFA,Hepariinit
01069,N04BX02,entacapone,Entakaponi,N2FB,Dopaminergiset lääkkeet
01070,404,,,,
01071,J07AP03,"typhoid, purified polysaccharide antigen",Lavantautipolysakkaridirokote,J2BAH,Lavantauti
01072,G1CB,N/A,Prolaktiininestäjät,G1,Gynekologiset lääkkeet
01073,A2BB,N/A,Oraalisten diabeteslääkkeiden yhdistelmävalmisteet,A2B,Muut diabeteslääkkeet kuin insuliinit
01074,J0AB,N/A,Herpes/sytomegalo/Ebstein-Barr -lääkkeet,J1D,Viruslääkkeet
01075,N3B,N/A,Opioidit,M1,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)"
01076,S1H,N/A,Diagnostiset aineet,S1,Silmätautien lääkkeet
01077,V5D,N/A,Ultraäänikuvausaineet,V5,Varjoaineet
01078,C09BB02,enalapril and lercanidipine,Enalapriili ja lerkanidipiini,C1HB,ACE:n estäjä ja kalsiumkanavan salpaaja
01079,H02AB07,prednisone,Prednisoni,H1CB,"Glukokortikoidit, myös yhdistelmävalmisteet"
01080,V08CA06,gadoversetamide,Gadoversetamidi,V5C,MRI-kuvausaineet
01081,G2AE,N/A,Progestageenit (muu kuin raskauden ehkäisy),G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
01082,N02CC04,rizatriptan,Ritsatriptaani,N3CA,Triptaanit (5-HT1-reseptoriagonistit)
01083,J05AP01,ribavirin,Ribaviriini,J1DA,C-hepatiittilääkkeet
01084,L1B,N/A,Endokrinologiset lääkkeet,L1,Syöpälääkkeet ja immuunivasteen muuntajat
01085,N03AX03,sultiame,Sultiaami,N2EE,Muut epilepsialääkkeet
01086,C01EB10,adenosine,Adenosiini,C1B,Rytmihäiriölääkkeet
01087,A1AC,N/A,Prostaglandiinianalogit,A1A,Liikahappoisuuden hoito
01088,M03AB01,suxamethonium,Suksametoni,M3AA,Anestesian yhteydessä käytettävät lihasrelaksantit
01089,C07AA07,sotalol,Sotaloli,C1BDB,Epäselektiiviset beetasalpaajat
01090,404,,,,
01091,L01XC04,ATCDDD N/A,Alemtutsumabi,L1AEB,Monoklonaaliset vasta-aineet
01092,G2AAB,N/A,Progestageenin  ja estrogeenin sekventiaalivalmisteet,G2AA,Hormonaaliset ehkäisyvalmisteet (systeeminen vaikutus)
01093,N05CD08,midazolam,Midatsolaami,N1AAD,Muut yleisanesteetit
01094,B05DA,Isotonic solutions,Isotoniset liuokset,B2C,Peritoneaalidialyysiliuokset
01095,H1D,N/A,Kilpirauhasen toiminnan häiriöiden hoito,H1,Hormonit (paitsi insuliinit) ja ehkäisy
01096,B1AD,N/A,Suorat trombiinin estäjät,B1AF,Antikoagulantit
01097,S1FB,N/A,Allergialääkkeet,S1F,Silmien punoitusta ja allergiaoireita vähentävät lääkkeet
01098,L04AB02,infliximab,Infliksimabi,D1E,Psoriaasilääkkeet
01099,M05BB01,"etidronic acid and calcium, sequential",500,Check manually,
01100,A3AC,N/A,C-vitamiinit,A3A,Vitamiinit
01101,B05XA31,electrolytes in combination with other drugs,Elektrolyyttien ja muiden lääkeaineiden yhdistelmävalmisteet,B2DA,Elektrolyyttiliuokset ja aminohapot
01102,404,,,,
01103,404,,,,
01104,G04BX14,dapoxetine,Dapoksetiini,G1DF,Muut virtsaelinten sairauksien lääkkeet
01105,N01AF03,thiopental,Tiopentaali,N1AAB,Barbituraatit
01106,L03AB03,interferon gamma,Interferonigamma,L1CB,Interferonit
01107,C09DA02,eprosartan and diuretics,Eprosartaani ja diureetit,C1KA,AT-reseptorin salpaaja ja diureetti
01108,N02BG08,ziconotide,Tsikonotidi,M1D,Muut TULES- ja kipulääkkeet
01109,L04AA24,abatacept,Abatasepti,L1DA,Selektiiviset immunosuppressantit
01110,M09AX01,hyaluronic acid,Hyaluronihappo,M1D,Muut TULES- ja kipulääkkeet
01111,L2AA,N/A,Kulta,L2AB,Perinteiset reumalääkkeet (DMARDs)
01112,N06AX22,agomelatine,Agomelatiini,N2DD,Muut masennuslääkkeet
01113,J02AX06,anidulafungin,Anidulafungiini,J1BB,Systeemiset sienilääkkeet
01114,J07BB02,"influenza, inactivated, split virus or surface antigen","Influenssarokote, puhdistettu antigeeni",J2BBB,Influenssa
01115,L02BA03,fulvestrant,Fulvestrantti,L1BBA,Antiestrogeenit
01116,L03AB10,peginterferon alfa-2b,Peginterferonialfa-2b,L1CB,Interferonit
01117,N03AG06,tiagabine,Tiagabiini,N2ED,Rasvahappojohdokset
01118,404,,,,
01119,C07AB12,nebivolol,Nebivololi,C1BDA,Selektiiviset beetasalpaajat
01120,G2AFA,N/A,Kiinteät yhdistelmät,G2AF,Progestageenien ja estrogeenien yhdistelmävalmisteet
01121,J2BAE,N/A,Pneumokokki,J2BA,Bakteerirokotteet
01122,N02CC06,eletriptan,Eletriptaani,N3CA,Triptaanit (5-HT1-reseptoriagonistit)
01123,J01CA04,amoxicillin,Amoksisilliini,J1ABA,Laajaspektriset penisilliinit
01124,D1AC,N/A,Vahvat (ryhmä III),D1A,Iholle käytettävät kortikosteroidit
01125,A04AA02,granisetron,Granisetroni,A1CA,Serotoniiniantagonistit
01126,C1,N/A,Sydän- ja verenkiertoelimistön lääkkeet,N/A JSON API,N/A JSON API
01127,B02BD09,ATCDDD N/A,500,Check manually,
01128,G01AF04,miconazole,Mikonatsoli,G1A,Gynekologiset mikrobilääkkeet ja muu paikallishoito
01129,H1CA,N/A,Mineralokortikoidit,H1C,Kortikosteroidit (systeeminen käyttö)
01130,L03AX03,BCG vaccine,BCG-rokote,L1CD,Muut immunostimulantit
01131,L03AC01,aldesleukin,Aldesleukiini,L1CC,Interleukiinit
01132,H01AX01,pegvisomant,Pegvisomantti,H1AA,Aivolisäkkeen etulohkon hormonit
01133,P02DA01,niclosamide,Niklosamidi,P1BB,Laakamatolääkkeet
01134,C01EB02,camphora,Kamferi,C1AD,Muut sydänlääkkeet
01135,V08CA10,gadoxetic acid,Gadoksetiinihappo,V5C,MRI-kuvausaineet
01136,G2AAA,N/A,Progestageenin ja estrogeenin kiinteät yhdistelmät,G2AA,Hormonaaliset ehkäisyvalmisteet (systeeminen vaikutus)
01137,A1GB,N/A,"Suun paikallishoito, mikrobilääkkeet",A1G,Suun ja hampaiden hoito
01138,A1AE,N/A,Helikobakteerin häätöön tarkoitetut yhdistelmävalmisteet,A1A,Liikahappoisuuden hoito
01139,V03AC01,deferoxamine,Desferrioksamiini,V2B,Rautaa kelatoivat aineet
01140,N07AA30,ambenonium,Ambenoni,N2L,Parasympatomimeetit
01141,J01GB01,tobramycin,Tobramysiini,J1AG,Aminoglykosidit
01142,G02CX01,atosiban,Atosibaani,G1CA,Kohtua supistavat tai relaksoivat lääkeaineet
01143,N05AB04,prochlorperazine,Proklooriperatsiini,A1CC,Neuroleptit
01144,B2,N/A,Veren korvikkeet ja perfuusioliuokset,N/A JSON API,N/A JSON API
01145,B05XA03,sodium chloride,Natriumkloridi,B2DA,Elektrolyyttiliuokset ja aminohapot
01146,L01AA07,trofosfamide,Trofosfamidi,L1AA,Alkyloivat aineet
01147,M04AA01,allopurinol,Allopurinoli,M1K,Kihtilääkkeet
01148,B01AD11,tenecteplase,Tenekteplaasi,B1AC,Fibrinolyyttiset lääkeaineet
01149,J1D,N/A,Viruslääkkeet,N/A JSON API,N/A JSON API
01150,M01AH01,celecoxib,Selekoksibi,M1B,Koksibit
01151,L01AB01,busulfan,Busulfaani,L1AA,Alkyloivat aineet
01152,P1C,N/A,Ulkoloisten häätön käytettävät lääkkeet,P1,"Loisten häätö (alkueläimet, madot, syyhy)"
01153,G2AAD,N/A,Jälkiehkäisy,G2AA,Hormonaaliset ehkäisyvalmisteet (systeeminen vaikutus)
01154,D06AX01,fusidic acid,Fusidiinihappo,D1DA,"Paikalliset antibiootit, kemoterapia"
01155,S01BA13,rimexolone,500,Check manually,
01156,J1AH,N/A,Fluorokinolonit,J1A,Bakteerilääkkeet
01157,404,,,,
01158,L04AX03,methotrexate,Metotreksaatti,D1E,Psoriaasilääkkeet
01159,A03CA02,clidinium and psycholeptics,Klidiini ja psyykenlääke,A1BB,Antikolinergiyhdistelmät
01160,J1AB,N/A,Penisilliinit,J1A,Bakteerilääkkeet
01161,C01CA04,dopamine,Dopamiini,C1AB,Inotrooppiset lääkkeet
01162,L1BBA,N/A,Antiestrogeenit,L1BB,Hormoniantagonistit
01163,J01AA02,doxycycline,Doksisykliini,P1AB,Malarialääkkeet
01164,C02KX03,sitaxentan,Sitaksentaani,C1M,Pulmonaalihypertension lääkkeet
01165,404,,,,
01166,B05AA01,albumin,Albumiini,B2A,"Veren korvikkeet, infuusionesteet"
01167,N06AX11,mirtazapine,Mirtatsapiini,N2DD,Muut masennuslääkkeet
01168,C03BA11,indapamide,Indapamidi,C1CA,Tiatsidit ja niiden kaltaiset diureetit
01169,J05AF10,entecavir,Entekaviiri,J0ABA,B-hepatiittilääkkeet
01170,V2B,N/A,Rautaa kelatoivat aineet,V2,"Myrkytysten, yliannostusten ym. hoito"
01171,N3C,N/A,Migreenilääkkeet (spesifiset),M1,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)"
01172,J01GB07,netilmicin,Netilmisiini,J1AG,Aminoglykosidit
01173,N03AX11,topiramate,Topiramaatti,N2EE,Muut epilepsialääkkeet
01174,L1DC,N/A,Interleukiinien estäjät,L1D,Immunosuppressantit
01175,C01BD01,amiodarone,Amiodaroni,C1BE,Ryhmä 3 (repolarisaation pidentäjät)
01176,S01AA30,combinations of different antibiotics,Mikrobilääkkeiden yhdistelmävalmisteet,S1A,Mikrobilääkkeet
01177,R05CA10,combinations,Yhdistelmävalmisteet,R1EC,Yhdistelmävalmisteet ja muut yskä- ja vilustumislääkkeet
01178,V03AB15,naloxone,Naloksoni,V2A,Myrkytysten antidootit
01179,J01EA01,trimethoprim,Trimetopriimi,J1AD,Sulfonamidit ja trimetopriimi
01180,V07AB,"Solvents and diluting agents, incl. irrigating solutions","Liuottimet, laimentimet, huuhteluliuokset",V4,Tekniset valmisteet
01181,R07AA02,natural phospholipids,Luonnolliset fosfolipidit,R1FB,Surfaktantit
01182,J07BC02,"hepatitis A, inactivated, whole virus",Inaktivoitu hepatiitti A -rokote (koko virus),J2BBC,Hepatiitti
01183,G03GA01,chorionic gonadotrophin,Koriongonadotropiini,G2AG,Ovulaation stimuloijat
01184,N02AB03,fentanyl,Fentanyyli,N3BB,Vahvat opioidit
01185,L04AD01,ciclosporin,Siklosporiini,D1HA,Atooppisen ihottuman lääkkeet
01186,L04AA23,ATCDDD N/A,500,Check manually,
01187,B01AC17,tirofiban,Tirofibaani,B1ABC,Glykoproteiini IIb/IIIa -estäjät
01188,404,,,,
01189,C08CA13,lercanidipine,Lerkanidipiini,C1FA,Pääasiassa verisuonistoon vaikuttavat kalsiumkanavan salpaajat
01190,C09AA06,quinapril,Kinapriili,C1G,ACE:n estäjät
01191,C04AD03,pentoxifylline,Pentoksifylliini,C1Q,"Ääreisverisuonia laajentavat aineet, suonikohjujen hoito"
01192,C10AA05,atorvastatin,Atorvastatiini,C1PA,Statiinit
01193,C10AC04,colesevelam,Kolesevelaami,C1PC,Sappihappojen sitojat
01194,N05BA04,oxazepam,Oksatsepaami,N2BA,Bentsodiatsepiinit
01195,N04AA02,biperiden,Biperideeni,N2FA,Antikolinergit
01196,L04AB05,certolizumab pegol,Sertolitsumabipegoli,D1E,Psoriaasilääkkeet
01197,V08AB05,iopromide,Jopromidi,V5A,Jodia sisältävät varjoaineet
01198,R03AC13,formoterol,Formoteroli,R1AB,Pitkävaikutteiset beeta-2-agonistit (LABA)
01199,A07AA09,vancomycin,Vankomysiini,A1EA,Suolistoantibiootit
01200,404,,,,
01201,J1ACB,N/A,Toisen polven kefalosporiinit,J1AC,Muut beetalaktaamirakenteiset bakteerilääkkeet
01202,J1ACE,N/A,Monobaktaamit,J1AC,Muut beetalaktaamirakenteiset bakteerilääkkeet
01203,C07AA03,pindolol,Pindololi,C1BDB,Epäselektiiviset beetasalpaajat
01204,A2BE,N/A,DPP-4:n estäjät (gliptiinit),A2B,Muut diabeteslääkkeet kuin insuliinit
01205,H1AB,N/A,Aivolisäkkeen takalohkon hormonit,H1A,Aivolisäkkeen ja hypotalamuksen hormonit
01206,J05AE01,saquinavir,Sakinaviiri,J1DCA,Proteaasin estäjät
01207,L01XE06,ATCDDD N/A,500,Check manually,
01208,N01AB06,isoflurane,Isofluraani,N1AAA,Halogenoidut hiilivedyt
01209,L2A,N/A,Reuman ja systeemisten sidekudossairauksien lääkkeet,M1,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)"
01210,M01AE17,dexketoprofen,Deksketoprofeeni,M1A,Tulehduskipulääkkeet
01211,L01XX23,mitotane,Mitotaani,L1AEE,Muut syöpälääkkeet
01212,C1G,N/A,ACE:n estäjät,C1U,Verenpainelääkkeet
01213,C09BA05,ramipril and diuretics,Ramipriili ja diureetit,C1HA,ACE:n estäjä ja diureetti
01214,N1,N/A,Anestesia-aineet ja puudutteet,N/A JSON API,N/A JSON API
01215,G2AF,N/A,Progestageenien ja estrogeenien yhdistelmävalmisteet,G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
01216,N01AH01,fentanyl,Fentanyyli,N1AAC,Opioidianesteetit
01217,C09CA03,valsartan,Valsartaani,C1J,AT-reseptorin salpaajat
01218,J04AB04,rifabutin,Rifabutiini,J1CA,Tuberkuloosilääkkeet
01219,D01AC03,econazole,Ekonatsoli,D1BA,Paikalliset sienilääkkeet
01220,M1K,N/A,Kihtilääkkeet,M1,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)"
01221,G03DA02,medroxyprogesterone,Medroksiprogesteroni,G2AE,Progestageenit (muu kuin raskauden ehkäisy)
01222,A1A,N/A,Liikahappoisuuden hoito,A1,Ruoansulatuskanavan lääkkeet
01223,C07AG01,labetalol,Labetaloli,C1DC,Alfa- ja beetareseptoreiden salpaajat
01224,404,,,,
01225,B05BA01,amino acids,Aminohapot,B2B,Parenteraaliset ravintovalmisteet
01226,R03AC03,terbutaline,Terbutaliini,R1AA,Lyhytvaikutteiset beeta-2-agonistit (SABA)
01227,C10AA04,fluvastatin,Fluvastatiini,C1PA,Statiinit
01228,404,,,,
01229,G03AC06,medroxyprogesterone,Medroksiprogesteroni,G2AAC,Progestageenit
01230,V03AE03,lanthanum carbonate,Lantaanikarbonaatti,V2C,Hyperkalemia- ja hyperfosfatemialääkkeet
01231,N05AB01,dixyrazine,Diksyratsiini,N2AAA,Fentiatsiinit
01232,R1FC,N/A,Hengitystoimintaa stimuloivat lääkkeet,R1F,Muut hengitysteiden sairauksien lääkkeet
01233,J05AE02,indinavir,Indinaviiri,J1DCA,Proteaasin estäjät
01234,J05AF05,lamivudine,Lamivudiini,J1DCB,Käänteiskopioijaentsyymin estäjät
01235,G1DC,N/A,Eturauhasen hyvänlaatuisen liikakasvun lääkkeet,G1D,Virtsaelinten sairauksien lääkkeet
01236,N07XX04,sodium oxybate,Natriumoksibaatti (hydroksivoihappo),N2N,Narkolepsialääkkeet
01237,L02AE04,triptorelin,Triptoreliini,L1BAB,Gonadotropiinia vapauttavan hormonin kaltaiset yhdisteet
01238,G01AF05,econazole,Ekonatsoli,G1A,Gynekologiset mikrobilääkkeet ja muu paikallishoito
01239,G03GB02,clomifene,Klomifeeni,G2AG,Ovulaation stimuloijat
01240,G03AA07,levonorgestrel and ethinylestradiol,Levonorgestreeli ja etinyyliestradioli,G2AAA,Progestageenin ja estrogeenin kiinteät yhdistelmät
01241,J1ABB,N/A,Beetalaktamaasiherkät penisilliinit,J1AB,Penisilliinit
01242,M02AA07,piroxicam,Piroksikaami,M1DA,Paikalliset tulehduskipulääkkeet
01243,L01BB04,cladribine,Kladribiini,L1ABB,Puriinianalogit
01244,D10AD53,"adapalene, combinations","Adapaleeni, yhdistelmävalmisteet",D1CAB,Muut kuin mikrobilääkkeet
01245,G2AD,N/A,Estrogeenit ja estrogeenireseptorin muuntelijat,G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
01246,V04CL,Tests for allergic diseases,Allergiatestit,V3,Diagnostiset aineet
01247,B05AA07,hydroxyethylstarch,500,Check manually,
01248,404,,,,
01249,404,,,,
01250,A01AA01,sodium fluoride,Natriumfluoridi,A1GA,Karieksen esto
01251,404,,,,
01252,R05CB02,bromhexine,Bromiheksiini,R1EB,Limaa irrottavat
01253,V03AB34,fomepizole,Fomepitsoli,V2A,Myrkytysten antidootit
01254,D10BA01,isotretinoin,Isotretinoiini,D1CB,Systeemisesti käytettävät aknelääkkeet
01255,J02AX05,micafungin,Mikafungiini,J1BB,Systeemiset sienilääkkeet
01256,N05CF02,zolpidem,Tsolpideemi,N2CB,Bentsodiatsepiinien kaltaiset unilääkkeet
01257,C1E,N/A,Beetasalpaajien yhdistelmävalmisteet,C1U,Verenpainelääkkeet
01258,G02AD02,dinoprostone,Dinoprostoni,G1CA,Kohtua supistavat tai relaksoivat lääkeaineet
01259,N05CD07,temazepam,Tematsepaami,N2CA,Bentsodiatsepiinit
01260,M09AA72,"quinine, combinations with psycholeptics",500,Check manually,
01261,D06BX01,metronidazole,Metronidatsoli,D1DA,"Paikalliset antibiootit, kemoterapia"
01262,G01AF01,metronidazole,Metronidatsoli,G1A,Gynekologiset mikrobilääkkeet ja muu paikallishoito
01263,R01AD01,beclometasone,Beklometasoni,R1DB,"Glukokortikoidit, myös yhdistelmävalmisteet"
01264,N05AH04,quetiapine,Ketiapiini,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
01265,A07FA01,lactic acid producing organisms,Maitohappobakteerit,A1EG,Mikro-organismit
01266,N1AAD,N/A,Muut yleisanesteetit,N1AA,Yleisanesteetit
01267,L01BC07,azacitidine,Atsasitidiini,L1ABC,Pyrimidiinianalogit
01268,J07AL52,"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",Pneumokokki (ja Haemophilus influenzae) -konjugaattirokote,J2BAE,Pneumokokki
01269,R02AA05,chlorhexidine,Klooriheksidiini,R1FA,Kurkkukipuun käytettävät valmisteet
01270,V09F,THYROID,Kilpirauhanen,V6A,Diagnostiset radioaktiiviset lääkevalmisteet
01271,N02AA01,morphine,Morfiini,N3BB,Vahvat opioidit
01272,L02AB01,megestrol,Megestroli,L1BAA,Estrogeenit ja progestageenit
01273,J1BA,N/A,Imidatsoli- ja triatsolijohdokset,J1BB,Systeemiset sienilääkkeet
01274,G04CB02,dutasteride,Dutasteridi,G1DCB,Testosteroni-5-alfareduktaasin estäjät
01275,N05AH02,clozapine,Klotsapiini,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
01276,D06BB03,aciclovir,Asikloviiri,D1DB,Paikalliset viruslääkkeet
01277,B1,N/A,Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet,N/A JSON API,N/A JSON API
01278,B01AC05,ticlopidine,Tiklopidiini,B1ABD,ADP-reseptorin salpaajat
01279,A04AD01,scopolamine,Skopolamiini,A1C,Pahoinvointilääkkeet
01280,V03AF05,amifostine,Amifostiini,V2E,Sytostaattihoidon haittoja vähentävät lääkkeet
01281,J2B,N/A,Rokotteet,J2,"Immunoseerumit, immunoglobuliinit, rokotteet"
01282,A3AB,N/A,"B-vitamiinit, myös yhdistelmävalmisteet",A3A,Vitamiinit
01283,L1AEB,N/A,Monoklonaaliset vasta-aineet,L1A,Syöpälääkkeet
01284,C1AC,N/A,Orgaaniset nitraatit,C1A,"Sydänlääkkeet (mm. digitalis, inotroopit, nitraatit)"
01285,R01BA52,"pseudoephedrine, combinations","Pseudoefedriini, yhdistelmävalmisteet",R1DE,Systeemisesti käytettävät nenän tukkoisuutta vähentävät lääkkeet
01286,C1Q,N/A,"Ääreisverisuonia laajentavat aineet, suonikohjujen hoito",C1,Sydän- ja verenkiertoelimistön lääkkeet
01287,N05AX08,risperidone,Risperidoni,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
01288,A02BC03,lansoprazole,Lansopratsoli,A1AD,Protonipumpun estäjät
01289,G04BD09,trospium,Trospium,G1DA,Virtsatiespasmolyytit (inkontinenssin ja tiheävirtsaisuuden hoito)
01290,N05AE04,ziprasidone,Tsiprasidoni,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
01291,C1CC,N/A,Kaliumia säästävät diureetit,C1C,Diureetit
01292,S01CA03,hydrocortisone and antiinfectives,Hydrokortisoni ja mikrobilääkkeet,S1CC,Kortikosteroidin ja mikrobilääkkeen yhdistelmät
01293,404,,,,
01294,G03AD02,ulipristal,Ulipristaali,G2AAD,Jälkiehkäisy
01295,A02BA02,ranitidine,Ranitidiini,A1AB,H2-reseptorisalpaajat
01296,B02BD04,coagulation factor IX,Hyytymistekijä IX,B1BE,Veren hyytymistekijät ja muut systeemisesti käytettävät hemostaatit
01297,D11AH01,tacrolimus,Takrolimuusi,D1HAA,Paikalliset kalsineuriinin estäjät
01298,M04AB01,probenecid,Probenesidi,M1K,Kihtilääkkeet
01299,H1E,N/A,Haiman hormonit (glukagoni),H1,Hormonit (paitsi insuliinit) ja ehkäisy
01300,L03AA02,filgrastim,Filgrastiimi,L1CA,Kasvutekijät
01301,J01FA01,erythromycin,Erytromysiini,J1AE,Makrolidit
01302,V01AA03,house dust mites,Huonepölypunkki,V1,Allergeenit
01303,G04BD07,tolterodine,Tolterodiini,G1DA,Virtsatiespasmolyytit (inkontinenssin ja tiheävirtsaisuuden hoito)
01304,S1CB,N/A,Tulehduskipulääkkeet,S1C,Anti-inflammatoriset lääkkeet
01305,S01BA07,fluorometholone,Fluorometoloni,S1CA,Kortikosteroidit
01306,M1,N/A,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)",N/A JSON API,N/A JSON API
01307,D01AC08,ketoconazole,Ketokonatsoli,D1BA,Paikalliset sienilääkkeet
01308,B02BC30,combinations,Paikallisesti käytettävät hemostaatit,B1B,Hyytymistä edistävät lääkkeet
01309,D07AC03,desoximetasone,Desoksimetasoni,D1AC,Vahvat (ryhmä III)
01310,S01BA01,dexamethasone,Deksametasoni,S1CA,Kortikosteroidit
01311,A11HA30,dexpanthenol,Dekspantenoli,A3A,Vitamiinit
01312,A3BC,N/A,Kalium,A3B,Kivennäisaineet
01313,L02AA02,polyestradiol phosphate,Polyestradiolifosfaatti,L1BAA,Estrogeenit ja progestageenit
01314,V03AB33,hydroxocobalamin,Hydroksokobalamiini,V2A,Myrkytysten antidootit
01315,S1F,N/A,Silmien punoitusta ja allergiaoireita vähentävät lääkkeet,S1,Silmätautien lääkkeet
01316,L03AB08,interferon beta-1b,Interferonibeeta-1b,L1CB,Interferonit
01317,A10AB02,insulin (beef),500,Check manually,
01318,A06AB06,senna glycosides,Sennaglykosidit,A1DA,Suolta stimuloivat ulostuslääkkeet
01319,A1BB,N/A,Antikolinergiyhdistelmät,A1B,Suoliston toiminnallisten häiriöiden lääkkeet
01320,R01AC04,antazoline,Antatsoliini,R1DC,Muut allergialääkkeet kuin kortikosteroidit
01321,V03AB24,digitalis antitoxin,Digitaliksen vasta-aine,V2A,Myrkytysten antidootit
01322,D07CC01,betamethasone and antibiotics,Beetametasoni ja antibiootit,D1AEC,Vahvojen kortikosteroidien yhdistelmät
01323,A16AB05,laronidase,Laronidaasi,A1JB,Entsyymit
01324,S01GA02,tetryzoline,Tetrytsoliini,S1FA,Sympatomimeetit
01325,C1BDA,N/A,Selektiiviset beetasalpaajat,C1D,Beetasalpaajat
01326,R03CC02,salbutamol,500,Check manually,
01327,D1AD,N/A,Erittäin vahvat (ryhmä IV),D1A,Iholle käytettävät kortikosteroidit
01328,N06AB10,escitalopram,Essitalopraami,N2DB,Selektiiviset serotoniinin takaisinoton estäjät (SSRI)
01329,J04AK01,pyrazinamide,Pyratsiiniamidi,J1CA,Tuberkuloosilääkkeet
01330,404,,,,
01331,A10BA02,metformin,Metformiini,A2B,Muut diabeteslääkkeet kuin insuliinit
01332,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor","Levodopa, dekarboksylaasin estäjä ja COMT-estäjä",N2FB,Dopaminergiset lääkkeet
01333,P03AC04,permethrin,Permetriini,P1C,Ulkoloisten häätön käytettävät lääkkeet
01334,V08AB11,iobitridol,Jobitridoli,V5A,Jodia sisältävät varjoaineet
01335,N02BE01,paracetamol,Parasetamoli,M1C,Tulehduskipulääkkeet ja parasetamoli
01336,L04AA06,mycophenolic acid,Mykofenolihappo,L1DA,Selektiiviset immunosuppressantit
01337,P1AB,N/A,Malarialääkkeet,P1A,Alkueläimiin vaikuttavat lääkkeet
01338,J04AK02,ethambutol,Etambutoli,J1CA,Tuberkuloosilääkkeet
01339,A3,N/A,Vitamiinit ja kivennäisaineet,N/A JSON API,N/A JSON API
01340,R03BB04,tiotropium bromide,Tiotropiumbromidi,R1HB,Pitkävaikutteiset antikolinergit (LAMA)
01341,B01AC21,treprostinil,Treprostiniili,C1M,Pulmonaalihypertension lääkkeet
01342,V08CA09,gadobutrol,Gadobutroli,V5C,MRI-kuvausaineet
01343,404,,,,
01344,C1P,N/A,Lipidilääkkeet,C1,Sydän- ja verenkiertoelimistön lääkkeet
01345,J07BM01,"papillomavirus (human types 6, 11, 16, 18)","Ihmisen papilloomavirus (tyyppi 6, 11, 16, 18) -rokote",J2BCA,Papillooma
01346,R01AX02,retinol,Retinoli,R1DD,Muut nenään paikallisesti käytettävät aineet
01347,R1DC,N/A,Muut allergialääkkeet kuin kortikosteroidit,R1D,Nenän tukkoisuutta lievittävät paikallisvalmisteet
01348,B01AD02,alteplase,Alteplaasi,B1AC,Fibrinolyyttiset lääkeaineet
01349,404,,,,
01350,A1E,N/A,Ripulin ja suolistotulehdusten hoito,A1,Ruoansulatuskanavan lääkkeet
01351,M01AB51,"indometacin, combinations","Indometasiini, yhdistelmävalmisteet",M1A,Tulehduskipulääkkeet
01352,N04BB01,amantadine,Amantadiini,N2FB,Dopaminergiset lääkkeet
01353,J2BBH,N/A,Vesirokko ja vyöruusu,J2BB,Virusrokotteet
01354,N05CM09,Valerianae radix,Valeriaana,N2CC,Muut unilääkkeet
01355,J01CR05,piperacillin and beta-lactamase inhibitor,Piperasilliini ja beetalaktamaasin estäjä,J1ABD,Penisilliinien yhdistelmävalmisteet
01356,M05BA01,etidronic acid,500,Check manually,
01357,C01AA05,digoxin,Digoksiini,C1B,Rytmihäiriölääkkeet
01358,H01CC01,ganirelix,Ganireliksi,H1ACB,Gonadotropiinin vapautumisen estäjät
01359,J05AX09,maraviroc,Maraviroki,J1DD,Muut HIV-lääkkeet
01360,J2BB,N/A,Virusrokotteet,J2B,Rokotteet
01361,B06AB01,hemin,Hemiini,B1E,Muut hematologiset lääkkeet
01362,J01FA15,telithromycin,Telitromysiini,J1AE,Makrolidit
01363,404,,,,
01364,J2BBF,N/A,Vesikauhu,J2BB,Virusrokotteet
01365,B01AB10,tinzaparin,Tintsapariini,B1ABA,Pienimolekyyliset hepariinit (LMWH)
01366,L1D,N/A,Immunosuppressantit,L1,Syöpälääkkeet ja immuunivasteen muuntajat
01367,C02AC01,clonidine,Klonidiini,C1EF,Sentraalisesti vaikuttavat
01368,J1DB,N/A,Influenssaviruslääkkeet,J1D,Viruslääkkeet
01369,VG03,N/A,Munuaiset,V6A,Diagnostiset radioaktiiviset lääkevalmisteet
01370,G03GA07,lutropin alfa,Lutropiini alfa,G2AG,Ovulaation stimuloijat
