seq,lvl,koodi,nimi
592,4,L04AA40,"Kladribiini"
593,4,L04AE04,"Ponesimodi"
594,4,L04AE03,"Siponimodi"
595,4,L04AG12,"Ofatumumabi"
596,4,L04AG14,"Ublituksimabi"
597,4,L04AX07,"Dimetyylifumaraatti"
598,4,L04AX09,"Diroksimeelifumaraatti"
599,4,N02BG10,"Kannabinoidit"
600,4,N07XX07,"Fampridiini"
601,3,N2H,"ADHD-lääkkeet"
602,4,C02AC02,"Guanfasiini"
603,4,N06BA02,"Deksamfetamiini"
604,4,N06BA04,"Metyylifenidaatti"
605,4,N06BA09,"Atomoksetiini"
606,4,N06BA12,"Lisdeksamfetamiini"
607,3,N2N,"Narkolepsialääkkeet"
608,4,N06BA07,"Modafiniili"
609,4,N06BA14,"Solriamfetoli"
610,4,N07XX11,"Pitolisantti"
611,4,N07XX04,"Natriumoksibaatti (hydroksivoihappo)"
612,3,N2J,"Riippuvuuden hoitoon tarkoitetut lääkkeet"
613,4,N2JA,"Nikotiiniriippuvuuden hoito"
614,5,N06AX12,"Bupropioni"
615,5,N07BA01,"Nikotiini"
616,5,N07BA03,"Varenikliini"
617,4,N2JB,"Alkoholiriippuvuuden hoito"
618,5,N07BB01,"Disulfiraami"
619,5,N07BB03,"Akamprosaatti"
620,5,N07BB04,"Naltreksoni"
621,5,N07BB05,"Nalmefeeni"
622,4,N2JC,"Opioidiriippuvuuden hoito"
623,5,N07BC01,"Buprenorfiini"
624,5,N07BC05,"Levometadoni"
625,5,N07BC02,"Metadoni"
626,5,N07BC04,"Lofeksidiini"
627,5,N07BC51,"Buprenorfiini, yhdistelmävalmisteet"
628,3,N2K,"Huimauslääkkeet"
629,4,N07CA01,"Betahistiini"
630,4,N07CA03,"Flunaritsiini"
631,4,N07CA52,"Sinnaritsiini, yhdistelmävalmisteet"
632,3,N2L,"Parasympatomimeetit"
633,4,N07AA01,"Neostigmiini"
634,4,N07AA02,"Pyridostigmiini"
635,4,N07AA03,"Distigmiini"
636,4,N07AA30,"Ambenoni"
637,4,N07AA51,"Neostigmiini, yhdistelmävalmisteet"
638,4,N07AB02,"Betanekoliini"
639,4,N07AX01,"Pilokarpiini"
640,3,N2M,"Muut hermostoon vaikuttavat lääkkeet"
641,4,N06BA14,"Solriamfetoli"
642,4,N06BC01,"Kofeiini"
643,4,N06BX03,"Pirasetaami"
644,4,N06BX13,"Idebenoni"
645,4,N07XX05,"Amifampridiini"
646,4,N07XX02,"Rilutsoli"
647,4,N07XX06,"Tetrabenatsiini"
648,4,N07XX07,"Fampridiini"
649,4,N07XX08,"Tafamidiisi"
650,4,N07XX12,"Patisiraani"
651,4,N07XX15,"Inoterseeni"
652,4,N07XX18,"Vutrisiraani "
653,4,N07XX21,"Eplonterseeni"
654,4,N07XX22,"Toferseeni"
655,4,N07XX25,"Omaveloksoloni"
656,4,A16AB21,"Atidarsageeniautotemseeli "
657,4,L04AG16,"Rotsanoliksitsumabi"
658,4,V03AX04,"Difelikefaliini"
659,2,J1A,"Bakteerilääkkeet"
660,3,J1AA,"Tetrasykliinit"
661,4,J01AA02,"Doksisykliini"
662,4,J01AA04,"Lymesykliini"
663,4,J01AA07,"Tetrasykliini"
664,4,J01AA08,"Minosykliini"
665,4,J01AA12,"Tigesykliini"
666,4,J01AA13,"Eravasykliini"
667,3,J1AB,"Penisilliinit"
668,4,J1ABA,"Laajaspektriset penisilliinit"
669,5,J01CA01,"Ampisilliini"
670,5,J01CA04,"Amoksisilliini"
671,4,J1ABB,"Beetalaktamaasiherkät penisilliinit"
672,5,J01CE01,"Bentsyylipenisilliini"
673,5,J01CE02,"Fenoksimetyylipenisilliini"
674,5,J01CE08,"Bentsyylipenisilliinibentsatiini"
675,5,J01CE09,"Prokaiinipenisilliini"
676,4,J1ABC,"Beetalaktamaasiresistentit penisilliinit"
677,5,J01CF01,"Dikloksasilliini"
678,5,J01CF02,"Kloksasilliini"
679,5,J01CF05,"Flukloksasilliini"
680,4,J1ABD,"Penisilliinien yhdistelmävalmisteet"
681,5,J01CR01,"Ampisilliini ja beetalaktamaasin estäjä"
682,5,J01CR02,"Amoksisilliini ja beetalaktamaasin estäjä"
683,5,J01CR03,"Tikarsilliini ja beetalaktamaasin estäjä"
684,5,J01CR05,"Piperasilliini ja beetalaktamaasin estäjä"
685,3,J1AC,"Muut beetalaktaamirakenteiset bakteerilääkkeet"
686,4,J01CA08,"Pivmesillinaami"
687,4,J1ACA,"Ensimmäisen polven kefalosporiinit"
688,5,J01DB01,"Kefaleksiini"
689,5,J01DB03,"Kefalotiini"
690,5,J01DB04,"Kefatsoliini"
691,5,J01DB05,"Kefadroksiili"
692,4,J1ACB,"Toisen polven kefalosporiinit"
693,5,J01DC01,"Kefoksitiini"
694,5,J01DC02,"Kefuroksiimi"
695,5,J01DC04,"Kefaklori"
696,4,J1ACC,"Kolmannen polven kefalosporiinit"
697,5,J01DD01,"Kefotaksiimi"
698,5,J01DD02,"Keftatsidiimi"
699,5,J01DD04,"Keftriaksoni, myös yhdistelmävalmisteet"
700,5,J01DD52,"Keftatsidiimi ja beetalaktamaasin estäjä"
701,4,J1ACD,"Neljännen polven kefalosporiinit"
702,5,J01DE01,"Kefepiimi"
703,5,J01DE51,"Kefepiimi ja enmetatsobaktaami"
704,4,J1ACG,"Muut kefalosporiinit, myös yhdistelmävalmisteet"
705,5,J01DI01,"Keftobiprolimedokariili"
706,5,J01DI02,"Keftaroliinifosamiili"
707,5,J01DI04,"Kefiderokoli"
708,5,J01DI54,"Keftolotsaani ja beetalaktamaasin estäjä"
709,4,J1ACE,"Monobaktaamit"
710,5,J01DF01,"Atstreonaami"
711,5,J01DF51,"Atstreonaami ja beetalaktamaasin estäjä"
712,4,J1ACF,"Karbapeneemit"
713,5,J01DH02,"Meropeneemi"
714,5,J01DH52,"Meropeneemi ja vaborbaktaami"
715,5,J01DH03,"Ertapeneemi"
716,5,J01DH04,"Doripeneemi"
717,5,J01DH51,"Imipeneemi ja silastatiini"
718,5,J01DH56,"Imipeneemi, silastatiini ja relebaktaami"
719,3,J1AD,"Sulfonamidit ja trimetopriimi"
720,4,J01EA01,"Trimetopriimi"
721,4,J01EC02,"Sulfadiatsiini"
722,4,J1ADA,"Sulfonamidin ja trimetopriimin yhdistelmät"
723,5,J01EE01,"Sulfametoksatsoli ja trimetopriimi"
724,5,J01EE02,"Sulfadiatsiini ja trimetopriimi"
725,3,J1AE,"Makrolidit"
726,4,J01FA01,"Erytromysiini"
727,4,J01FA02,"Spiramysiini"
728,4,J01FA06,"Roksitromysiini"
729,4,J01FA09,"Klaritromysiini"
730,4,J01FA10,"Atsitromysiini"
731,4,J01FA15,"Telitromysiini"
732,3,J1AG,"Aminoglykosidit"
733,4,J01GA01,"Streptomysiini"
734,4,J01GB01,"Tobramysiini"
735,4,J01GB03,"Gentamisiini"
736,4,J01GB05,"Neomysiini"
737,4,J01GB06,"Amikasiini"
738,4,J01GB07,"Netilmisiini"
739,3,J1AH,"Fluorokinolonit"
740,4,J01MA01,"Ofloksasiini"
741,4,J01MA02,"Siprofloksasiini"
742,4,J01MA06,"Norfloksasiini"
743,4,J01MA12,"Levofloksasiini"
744,4,J01MA14,"Moksifloksasiini"
745,4,J01MA23,"Delafloksasiini"
746,3,J1AK,"Peptidoglykaanit"
747,4,J01XA01,"Vankomysiini"
748,4,J01XA02,"Teikoplaniini"
749,4,J01XA04,"Dalbavansiini"
750,4,J01XA05,"Oritavansiini"
751,3,J1AL,"Muut bakteerilääkkeet"
752,4,A07AA11,"Rifaksimiini "
753,4,A07AA12,"Fidaksomisiini"
754,4,J01XB01,"Kolistiini"
755,4,J01XC01,"Fusidiinihappo"
756,4,J01FF01,"Klindamysiini"
757,4,J01XD01,"Metronidatsoli"
758,4,J01XE01,"Nitrofurantoiini"
759,4,J01XX01,"Fosfomysiini"
760,4,J01XX05,"Metenamiini"
761,4,J01XX08,"Linetsolidi"
762,4,J01XX09,"Daptomysiini"
763,4,J01XX11,"Teditsolidi"
764,4,J01XX12,"Lefamuliini"
765,3,D1DA,"Paikalliset antibiootit, kemoterapia"
766,4,D06AX01,"Fusidiinihappo"
767,4,D06AX04,"Neomysiini"
768,4,D06AX07,"Gentamisiini"
769,4,D06AX09,"Mupirosiini"
770,4,D06AX13,"Retapamuliini"
771,4,D06BA01,"Hopeasulfadiatsiini"
772,4,D06BB10,"Imikimodi"
773,4,D06BX01,"Metronidatsoli"
774,4,D06BX03,"Tirbanibuliini"
775,4,L01AA05,"Kloorimetiini"
776,4,L01BC02,"Fluorourasiili"
777,4,L01BC52,"Fluorourasiili, yhdistelmävalmisteet"
778,4,L01XD03,"Metyyliaminolevulinaatti"
779,4,L01XD04,"Aminolevuliinihappo"
780,2,J1B,"Sienilääkkeet"
781,3,J1BB,"Systeemiset sienilääkkeet"
782,4,J04BA02,"Dapsoni"
783,4,J1BA,"Imidatsoli- ja triatsolijohdokset"
784,5,J02AB02,"Ketokonatsoli"
785,5,J02AC01,"Flukonatsoli"
786,5,J02AC02,"Itrakonatsoli"
787,5,J02AC03,"Vorikonatsoli"
788,5,J02AC04,"Posakonatsoli"
789,5,J02AC05,"Isavukonatsoli"
790,4,D01BA01,"Griseofulviini"
791,4,D01BA02,"Terbinafiini"
792,4,J02AA01,"Amfoterisiini"
793,4,J02AX01,"Flusytosiini"
794,4,J02AX04,"Kaspofungiini"
795,4,J02AX05,"Mikafungiini"
796,4,J02AX06,"Anidulafungiini"
797,4,J02AX08,"Retsafungiini"
798,4,P01AX06,"Atovakoni"
799,4,P01CX01,"Pentamidiini-isetionaatti"
800,3,D1BA,"Paikalliset sienilääkkeet"
801,4,D01AA02,"Natamysiini"
802,4,D01AC01,"Klotrimatsoli"
803,4,D01AC02,"Mikonatsoli"
804,4,D01AC03,"Ekonatsoli"
805,4,D01AC07,"Tiokonatsoli"
806,4,D01AC08,"Ketokonatsoli"
807,4,D01AC10,"Bifonatsoli"
808,4,D01AC20,"Sienilääke ja kortikosteroidi"
809,4,D01AE02,"Metyylirosaniliini"
810,4,D01AE14,"Siklopiroksi"
811,4,D01AE15,"Terbinafiini"
812,4,D01AE16,"Amorolfiini"
813,4,D01AE20,"Muut sienilääkkeiden yhdistelmävalmisteet"
814,2,J1D,"Viruslääkkeet"
815,3,J0AB,"Herpes/sytomegalo/Ebstein-Barr -lääkkeet"
816,4,J05AB01,"Asikloviiri"
817,4,J05AB06,"Gansikloviiri"
818,4,J05AB09,"Famsikloviiri"
819,4,J05AB11,"Valasikloviiri"
820,4,J05AB12,"Sidofoviiri"
821,4,J05AB14,"Valgansikloviiri"
822,4,J05AD01,"Foskarnetti"
823,4,J05AX10,"Maribaviiri"
824,4,J05AX18,"Letermoviiri"
825,3,J0ABA," B-hepatiittilääkkeet"
826,4,J05AF05,"Lamivudiini"
827,4,J05AF07,"Tenofoviiridisoproksiili"
828,4,J05AF08,"Adefoviiridipivoksiili"
829,4,J05AF10,"Entekaviiri"
830,3,J1DA,"C-hepatiittilääkkeet"
831,4,J05AP01,"Ribaviriini"
832,4,J05AP02,"Telapreviiri"
833,4,J05AP03,"Bosepreviiri"
834,4,J05AP05,"Simepreviiri"
835,4,J05AP56,"Sofosbuviiri, velpatasviiri ja voksilapreviiri"
836,4,J05AP57,"Glekapreviiri ja pibrentasviiri"
837,4,J05AP07,"Daklatasviiri"
838,4,J05AP08,"Sofosbuviiri"
839,4,J05AP09,"Dasabuviiri"
840,4,J05AP51,"Sofosbuviiri ja ledipasviiri"
841,4,J05AP53,"Ombitasviiri, paritapreviiri ja ritonaviiri"
842,4,J05AP54,"Elbasviiri ja gratsopreviiri"
843,4,J05AP55,"Sofosbuviiri ja velpatasviiri"
844,4,L03AB10,"Peginterferonialfa-2b"
845,4,L03AB11,"Peginterferonialfa-2a"
846,3,J1DAA,"Muut hepatiittilääkkeet"
847,4,J05AX28,"Bulevirtidi"
848,3,J1DB,"Influenssaviruslääkkeet"
849,4,J05AH01,"Tsanamiviiri"
850,4,J05AH02,"Oseltamiviiri"
851,4,J05AH03,"Peramiviiri"
852,4,J05AX25,"Baloksaviirimarboksiili"
853,4,J05AX27,"Favipiraviiri"
854,3,J1DBA,"COVID-19-lääkkeet"
855,4,J05AB16,"Remdesiviiri"
856,4,J05AE30,"Nirmatrelviiri ja ritonaviiri"
857,4,J06BD05,"Sotrovimabi"
858,4,J06BD03,"Tiksagevimabi ja silgavimabi"
859,4,J06BD06,"Regdanvimabi"
860,4,J06BD07,"Kasirivimabi ja imdevimabi"
861,4,J06BD09,"Sipavibarti"
862,4,L04AC03,"Anakinra"
863,4,L04AC07,"Tosilitsumabi"
864,4,L04AJ10,"Vilobelimabi"
865,3,J1DC,"HIV-lääkkeet"
866,4,J1DCA,"Proteaasin estäjät"
867,5,J05AE01,"Sakinaviiri"
868,5,J05AE02,"Indinaviiri"
869,5,J05AE03,"Ritonaviiri"
870,5,J05AE07,"Fosamprenaviiri"
871,5,J05AE08,"Atatsanaviiri"
872,5,J05AE09,"Tipranaviiri"
873,5,J05AE10,"Darunaviiri"
874,4,J1DCB,"Käänteiskopioijaentsyymin estäjät"
875,5,J05AF01,"Tsidovudiini"
876,5,J05AF02,"Didanosiini"
877,5,J05AF04,"Stavudiini"
878,5,J05AF05,"Lamivudiini"
879,5,J05AF06,"Abakaviiri"
880,5,J05AF07,"Tenofoviiridisoproksiili"
881,5,J05AF09,"Emtrisitabiini"
882,5,J05AF11,"Telbivudiini"
883,5,J05AF13,"Tenofoviirialafenamidi"
884,5,J05AG01,"Nevirapiini"
885,5,J05AG03,"Efavirentsi"
886,5,J05AG04,"Etraviriini"
887,5,J05AG05,"Rilpiviriini"
888,5,J05AG06,"Doraviriini"
889,4,J1DCBA,"Integraasinestäjät"
890,5,J05AJ03,"Dolutegraviiri"
891,5,J05AJ01,"Raltegraviiri"
892,5,J05AJ04,"Kabotegraviiri"
893,4,J1DCD,"HIV-lääkkeiden yhdistelmät"
894,5,J05AR01,"Tsidovudiini ja lamivudiini"
895,5,J05AR02,"Lamivudiini ja abakaviiri"
896,5,J05AR03,"Tenofoviiridisoproksiili ja emtrisitabiini"
897,5,J05AR04,"Tsidovudiini, lamivudiini ja abakaviiri"
898,5,J05AR06,"Emtrisitabiini, tenofoviiridisoproksiili ja efavirentsi"
899,5,J05AR08,"Emtrisitabiini, tenofoviiridisoproksiili ja rilpiviriini"
900,5,J05AR09,"Emtrisitabiini, tenofoviiridisoproksiili, elvitegraviiri ja kobisistaatti"
901,5,J05AR10,"Lopinaviiri ja ritonaviiri"
902,5,J05AR13,"Lamivudiini, abakaviiri ja dolutegraviiri"
903,5,J05AR14,"Darunaviiri ja kobisistaatti"
904,5,J05AR15,"Atatsanaviiri ja kobisistaatti"
905,5,J05AR17,"Emtrisitabiini ja tenofoviirialafenamidi"
906,5,J05AR18,"Emtrisitabiini, tenofoviirialafenamidi, elvitegraviiri ja kobisistaatti"
907,5,J05AR19,"Emtrisitabiini, tenofoviirialafenamidi ja rilpiviriini"
908,5,J05AR20,"Biktegraviiri, emtrisitabiini ja tenofoviirialafenamidi"
909,5,J05AR21,"Dolutegraviiri ja rilpiviriini "
910,5,J05AR22,"Emtrisitabiini, tenofoviirialafenamidi, darunaviiri ja kobisistaatti"
911,5,J05AR24,"Doraviriini, lamivudiini ja tenofoviiridisoproksiili"
912,5,J05AR25,"Dolutegraviiri ja lamivudiini"
913,4,J1DD,"Muut HIV-lääkkeet"
914,5,J05AX07,"Enfuvirtidi"
915,5,J05AX09,"Maraviroki"
916,5,J05AX23,"Ibalitsumabi"
917,5,J05AX29,"Fostemsaviiri"
918,5,J05AX31,"Lenakapaviiri"
919,5,V03AX03,"Kobisistaatti"
920,3,D1DB,"Paikalliset viruslääkkeet"
921,4,D06BB03,"Asikloviiri"
922,4,D06BB04,"Podofyllotoksiini"
923,4,D06BB06,"Pensikloviiri"
924,4,D06BB10,"Imikimodi"
925,4,D06BB53,"Asikloviiri, yhdistelmävalmisteet"
926,3,J1DE,"Muut viruslääkkeet"
927,4,J05AX24,"Tekovirimaatti"
928,2,J1C,"Mykobakteerilääkkeet"
929,3,J1CA,"Tuberkuloosilääkkeet"
930,4,J04AA01,"Aminosalisyylihappo"
931,4,J04AB01,"Sykloseriini"
932,4,J04AB02,"Rifampisiini"
933,4,J04AB04,"Rifabutiini"
934,4,J04AB05,"Rifapentiini"
935,4,J04AC01,"Isoniatsidi"
936,4,J04AD01,"Protionamidi"
937,4,J04AD03,"Etionamidi"
938,4,J04AK01,"Pyratsiiniamidi"
939,4,J04AK02,"Etambutoli"
940,4,J04AK05,"Bedakiliini"
941,4,J04AK08,"Pretomanidi"
942,3,J1CB,"Lepralääkkeet"
943,4,J04BA01,"Klofatsimiini"
944,4,J04BA02,"Dapsoni"
945,2,M1,"Kipulääkkeet (myös migreenin, reuman ja kihdin lääkkeet)"
946,3,M1C,"Tulehduskipulääkkeet ja parasetamoli"
947,4,M1A,"Tulehduskipulääkkeet"
948,5,N02BA01,"Asetyylisalisyylihappo"
949,5,N02BA51,"Asetyylisalisyylihappo, yhdistelmävalmisteet"
950,5,N02BA57,"Etentsamidi, yhdistelmävalmisteet"
951,5,M01AE17,"Deksketoprofeeni"
952,5,M01AB05,"Diklofenaakki"
953,5,M01AB55,"Diklofenaakki, yhdistelmävalmisteet"
954,5,M01AB08,"Etodolaakki"
955,5,M01AE01,"Ibuprofeeni"
956,5,M01AE51,"Ibuprofeeni, yhdistelmävalmisteet"
957,5,M01AB01,"Indometasiini"
958,5,M01AB51,"Indometasiini, yhdistelmävalmisteet"
959,5,M01AE03,"Ketoprofeeni"
960,5,M01AB15,"Ketorolaakki"
961,5,M01AG01,"Mefenaamihappo"
962,5,M01AC06,"Meloksikaami"
963,5,M01AX01,"Nabumetoni"
964,5,M01AE02,"Naprokseeni"
965,5,M01AE52,"Naprokseeni ja esomepratsoli"
966,5,M01AX17,"Nimesulidi"
967,5,M01AB02,"Sulindaakki"
968,5,M01AC01,"Piroksikaami"
969,5,M01AC02,"Tenoksikaami"
970,5,M01AE11,"Tiaprofeenihappo"
971,5,M01AG02,"Tolfenaamihappo"
972,4,M1B,"Koksibit"
973,5,M01AH01,"Selekoksibi"
974,5,M01AH04,"Parekoksibi"
975,5,M01AH05,"Etorikoksibi"
976,4,N02BE01,"Parasetamoli"
977,4,N02BE51,"Parasetamoli, yhdistelmävalmisteet"
978,3,M1DA,"Paikalliset tulehduskipulääkkeet"
979,4,M02AA06,"Etofenamaatti"
980,4,M02AA07,"Piroksikaami"
981,4,M02AA10,"Ketoprofeeni"
982,4,M02AA13,"Ibuprofeeni"
983,4,M02AA15,"Diklofenaakki"
984,4,M1DAA,"Salisyylihappojohdoksia sisältävät valmisteet"
985,5,NA,"MOBILAT emulsiovoide"
986,5,NA,"MOBILAT geeli"
987,3,M1D,"Muut TULES- ja kipulääkkeet"
988,4,M01AX05,"Glukosamiini"
989,4,M01AX25,"Kondroitiinisulfaatti"
990,4,M01CX,"Kondroitiinisulfaatti ja glukosamiini"
991,5,NA,"DROGLICAN 200/250 mg kapseli, kova"
992,4,M02AB01,"Kapsaisiini "
993,4,M09AB02,"Clostridium histolyticum -kollagenaasi"
994,4,M09AX01,"Hyaluronihappo"
995,4,N02BG08,"Tsikonotidi"
996,4,N02BG09,"Metoksifluraani"
997,4,N02BG10,"Kannabinoidit"
998,3,N3B,"Opioidit"
999,4,N3BA,"Heikot opioidit, osittaiset agonistit"
1000,5,N02AA59,"Kodeiini, yhdistelmävalmisteet"
1001,5,N02AC04,"Dekstropropoksifeeni"
1002,5,N02AE01,"Buprenorfiini"
1003,5,N02AF02,"Nalbufiini"
1004,5,N02AX02,"Tramadoli"
1005,5,N02AX52,"Tramadoli, yhdistelmävalmisteet"
1006,4,N3BB,"Vahvat opioidit"
1007,5,N01AH02,"Alfentaniili"
1008,5,N02AA01,"Morfiini"
1009,5,N02AA03,"Hydromorfoni"
1010,5,N02AA05,"Oksikodoni, myös yhdistelmävalmisteet"
1011,5,N02AB02,"Petidiini"
1012,5,N02AB03,"Fentanyyli"
1013,5,N07BC02,"Metadoni"
1014,3,N3C,"Migreenilääkkeet (spesifiset)"
1015,4,CGRPA,"CGRP-antagonistit"
1016,5,N02CD01,"Erenumabi"
1017,5,N02CD02,"Galkanetsumabi"
1018,5,N02CD03,"Fremanetsumabi"
1019,5,N02CD05,"Eptinetsumabi"
1020,5,N02CD06,"Rimegepantti"
1021,5,N02CD07,"Atogepantti "
1022,4,N3CA,"Triptaanit (5-HT1-reseptoriagonistit)"
1023,5,N02CC01,"Sumatriptaani"
1024,5,N02CC02,"Naratriptaani"
1025,5,N02CC03,"Tsolmitriptaani"
1026,5,N02CC04,"Ritsatriptaani"
1027,5,N02CC05,"Almotriptaani"
1028,5,N02CC06,"Eletriptaani"
1029,5,N02CC07,"Frovatriptaani"
1030,5,N02CC08,"Lasmiditaani"
1031,5,N02CC51,"Sumatriptaani ja naprokseeni "
1032,4,N3CB,"Torajyväalkaloidit"
1033,5,N02CA01,"Dihydroergotamiini"
1034,5,N02CA04,"Metysergidi"
1035,5,N02CA52,"Ergotamiini, yhdistelmävalmisteet"
1036,4,N02CX01,"Pitsotifeeni"
1037,4,N05AB04,"Proklooriperatsiini"
1038,3,N3D,"Neuropaattisen kivun lääkkeet"
1039,4,D04AB01,"Lidokaiini"
1040,4,N03AF01,"Karbamatsepiini"
1041,4,N01BX04,"Kapsaisiini"
1042,4,N02BF01,"Gabapentiini"
1043,4,N02BF02,"Pregabaliini"
1044,4,N06AA09,"Amitriptyliini"
1045,4,N06AX21,"Duloksetiini "
1046,3,L2A,"Reuman ja systeemisten sidekudossairauksien lääkkeet"
1047,4,L2AB,"Perinteiset reumalääkkeet (DMARDs)"
1048,5,L01AA01,"Syklofosfamidi"
1049,5,L04AK01,"Leflunomidi"
1050,5,L04AD01,"Siklosporiini"
1051,5,L04AX01,"Atsatiopriini"
1052,5,L04AX03,"Metotreksaatti"
1053,5,A07EC01,"Sulfasalatsiini"
1054,5,L2AA,"Kulta"
1055,6,M01CB01,"Natriumaurotiomalaatti"
1056,6,M01CB03,"Auranofiini"
1057,5,M01CC01,"Penisillamiini"
1058,5,P01BA02,"Hydroksiklorokiini"
1059,4,L2AC,"Biologiset reumalääkkeet"
1060,5,L2ACA,"TNF-alfan estäjät"
1061,6,L04AB01,"Etanersepti"
1062,6,L04AB02,"Infliksimabi"
1063,6,L04AB04,"Adalimumabi"
1064,6,L04AB05,"Sertolitsumabipegoli"
1065,6,L04AB06,"Golimumabi"
1066,5,L2ACB,"Interleukiinien estäjät"
1067,6,L04AC05,"Ustekinumabi"
1068,6,L04AC08,"Kanakinumabi"
1069,6,L04AC03,"Anakinra"
1070,6,L04AC07,"Tosilitsumabi"
1071,6,L04AC10,"Sekukinumabi"
1072,6,L04AC13,"Iksekitsumabi"
1073,6,L04AC14,"Sarilumabi"
1074,6,L04AC16,"Guselkumabi"
1075,6,L04AC18,"Risankitsumabi"
1076,6,L04AC21,"Bimekitsumabi"
1077,5,L01FA01,"Rituksimabi"
1078,5,L04AA24,"Abatasepti"
1079,5,L04AG04,"Belimumabi"
1080,5,L04AG11,"Anifrolumabi"
1081,4,L2AD,"Muut selektiiviset reumalääkkeet"
1082,5,L2ADA,"JAK-estäjät"
1083,6,L04AF01,"Tofasitinibi"
1084,6,L04AF02,"Barisitinibi"
1085,6,L04AF03,"Upadasitinibi"
1086,6,L04AF04,"Filgotinibi"
1087,5,L04AA32,"Apremilasti"
1088,3,M1K,"Kihtilääkkeet"
1089,4,L04AC08,"Kanakinumabi"
1090,4,M04AA01,"Allopurinoli"
1091,4,M04AA03,"Febuksostaatti"
1092,4,M04AB01,"Probenesidi"
1093,4,M04AB03,"Bentsbromiaroni"
1094,4,M04AC01,"Kolkisiini"
1095,2,R1,"Hengitysteiden lääkkeet  (astma/COPD, antihistamiinit, yskänlääkkeet)"
1096,3,R1K,"Astma/COPD -lääkkeet"
1097,4,R1G,"Anti-inflammatoriset lääkkeet"
1098,5,R1AE,"Glukokortikoidit (ICS)"
1099,6,R03BA01,"Beklometasoni"
1100,6,R03BA02,"Budesonidi"
1101,6,R03BA05,"Flutikasoni"
1102,6,R03BA07,"Mometasoni"
1103,6,R03BA08,"Siklesonidi"
1104,5,R1AG,"Kromonit"
1105,6,R03BC01,"Dinatriumkromoglikaatti"
1106,6,R03BC03,"Nedokromiili"
1107,5,R1BD,"Leukotrieenireseptorin salpaajat"
1108,6,R03DC01,"Tsafirlukasti"
1109,6,R03DC03,"Montelukasti"
1110,5,R1GB,"PDE4:n estäjät"
1111,6,R03DX07,"Roflumilasti"
1112,5,R1BC,"Ksantiinijohdokset"
1113,6,R03DA04,"Teofylliini ja sen yhdistelmävalmisteet"
1114,6,R03DA05,"Aminofylliini"
1115,4,R1H,"Keuhkoputkia avaavat lääkkeet"
1116,5,R03AA01,"Adrenaliini"
1117,5,R1AA,"Lyhytvaikutteiset beeta-2-agonistit (SABA)"
1118,6,R03AC02,"Salbutamoli"
1119,6,R03AC03,"Terbutaliini"
1120,5,R1AB,"Pitkävaikutteiset beeta-2-agonistit (LABA)"
1121,6,R03AC12,"Salmeteroli"
1122,6,R03AC13,"Formoteroli"
1123,6,R03AC18,"Indakateroli"
1124,6,R03AC19,"Olodateroli"
1125,5,R1HA,"Lyhytvaikutteiset antikolinergit (SAMA)"
1126,6,R03BB01,"Ipratropiumbromidi"
1127,5,R1HB,"Pitkävaikutteiset antikolinergit (LAMA)"
1128,6,R03BB04,"Tiotropiumbromidi"
1129,6,R03BB05,"Aklidiniumbromidi"
1130,6,R03BB06,"Glykopyrroniumbromidi"
1131,6,R03BB07,"Umeklidiniumbromidi"
1132,5,R1AC,"Lyhytvaikutteinen beeta-2-agonisti ja antikolinergi tai kromoni"
1133,6,R03AL01,"Fenoteroli ja ipratropiumbromidi"
1134,6,R03AL02,"Salbutamoli ja ipratropiumbromidi"
1135,5,R1AH,"Pitkävaikutteinen beeta-2-agonisti ja antikolinergi"
1136,6,R03AL03,"Vilanteroli ja umeklidiniumbromidi"
1137,6,R03AL04,"Indakateroli ja glykopyrroniumbromidi"
1138,6,R03AL05,"Formoteroli ja aklidiniumbromidi"
1139,6,R03AL06,"Olodateroli ja tiotropiumbromidi"
1140,6,R03AL07,"Formoteroli ja glykopyrroniumbromidi"
1141,5,R1BC,"Ksantiinijohdokset"
1142,6,R03DA04,"Teofylliini ja sen yhdistelmävalmisteet"
1143,6,R03DA05,"Aminofylliini"
1144,5,R03CA02,"Efedriini"
1145,4,R1I,"Keuhkoputkia avaavat ja anti-inflammatoriset lääkkeet"
1146,5,R1AD,"Pitkävaikutteinen beeta-2-agonisti ja glukokortikoidi"
1147,6,R03AK06,"Salmeteroli ja flutikasoni"
1148,6,R03AK07,"Formoteroli ja budesonidi"
1149,6,R03AK08,"Formoteroli ja beklometasoni"
1150,6,R03AK10,"Vilanteroli ja flutikasonifuroaatti"
1151,6,R03AK11,"Formoteroli ja flutikasoni"
1152,6,R03AK14,"Indakateroli ja mometasoni"
1153,5,R1AJ,"Pitkävaikutteinen beeta-2-agonisti, antikolinergi ja glukokortikoidi"
1154,6,R03AL08,"Vilanteroli, umeklinidiumbromidi ja flutikasoni"
1155,6,R03AL09,"Formoteroli, glykopyrroniumbromidi ja beklometasoni"
1156,6,R03AL11,"Formoteroli, glykopyrroniumbromidi ja budesonidi"
1157,6,R03AL12,"Indakateroli, glykopyrroniumbromidi ja mometasoni"
1158,4,R1J,"Monoklonaaliset vasta-aineet"
1159,5,D11AH05,"Dupilumabi"
1160,5,R03DX05,"Omalitsumabi"
1161,5,R03DX08,"Reslitsumabi"
1162,5,R03DX09,"Mepolitsumabi"
1163,5,R03DX10,"Benralitsumabi"
